variable;empresa;año;valor;tipo
%_renewable_energy;Endesa;2017;0;cuantitativo
%_reduction_co2_2030;Endesa;2017;0.26;cuantitativo
external_audit;Endesa;2018;0;cualitativo
2030_commitment;Endesa;2018;1;cualitativo
waste_management;Endesa;2018;1;cualitativo
biodiversity_commitment;Endesa;2018;1;cualitativo
climate_strategy;Endesa;2018;1;cualitativo
water_management;Endesa;2018;1;cualitativo
recognized_env_standard;Endesa;2018;1;cualitativo
energy_management;Endesa;2018;1;cualitativo
%_renewable_energy;Endesa;2018;0;cuantitativo
%_reduction_co2_2030;Endesa;2018;0.65;cuantitativo
external_audit;Endesa;2019;1;cualitativo
2030_commitment;Endesa;2019;1;cualitativo
waste_management;Endesa;2019;1;cualitativo
biodiversity_commitment;Endesa;2019;1;cualitativo
climate_strategy;Endesa;2019;1;cualitativo
water_management;Endesa;2019;1;cualitativo
recognized_env_standard;Endesa;2019;1;cualitativo
energy_management;Endesa;2019;1;cualitativo
%_renewable_energy;Endesa;2019;0.55;cuantitativo
%_reduction_co2_2030;Endesa;2019;0.75;cuantitativo
external_audit;Endesa;2020;1;cualitativo
2030_commitment;Endesa;2020;1;cualitativo
waste_management;Endesa;2020;1;cualitativo
biodiversity_commitment;Endesa;2020;1;cualitativo
climate_strategy;Endesa;2020;1;cualitativo
water_management;Endesa;2020;1;cualitativo
recognized_env_standard;Endesa;2020;1;cualitativo
energy_management;Endesa;2020;1;cualitativo
%_renewable_energy;Endesa;2020;0;cuantitativo
%_reduction_co2_2030;Endesa;2020;0.8;cuantitativo
external_audit;Endesa;2021;1;cualitativo
2030_commitment;Endesa;2021;1;cualitativo
waste_management;Endesa;2021;1;cualitativo
biodiversity_commitment;Endesa;2021;1;cualitativo
climate_strategy;Endesa;2021;1;cualitativo
water_management;Endesa;2021;1;cualitativo
recognized_env_standard;Endesa;2021;1;cualitativo
energy_management;Endesa;2021;1;cualitativo
%_renewable_energy;Endesa;2021;0.22;cuantitativo
%_reduction_co2_2030;Endesa;2021;0.45;cuantitativo
external_audit;IAG;2021;1;cualitativo
2030_commitment;IAG;2021;1;cualitativo
waste_management;IAG;2021;1;cualitativo
biodiversity_commitment;IAG;2021;0;cualitativo
climate_strategy;IAG;2021;1;cualitativo
water_management;IAG;2021;0;cualitativo
electric_vehicles;IAG;2021;1;cualitativo
recognized_env_standard;IAG;2021;1;cualitativo
energy_management;IAG;2021;1;cualitativo
packaging;IAG;2021;1;cualitativo
fleet_management;IAG;2021;1;cualitativo
fuel_efficiency;IAG;2021;1;cualitativo
%_renewable_energy;IAG;2021;0.05;cuantitativo
%_waste_recycled;IAG;2021;0;cuantitativo
%_waste_haz_recycled;IAG;2021;0;cuantitativo
%_waste_nohaz_recycled;IAG;2021;0;cuantitativo
%_reduction_co2_2030;IAG;2021;0;cuantitativo
external_audit;IAG;2020;1;cualitativo
2030_commitment;IAG;2020;1;cualitativo
waste_management;IAG;2020;1;cualitativo
biodiversity_commitment;IAG;2020;0;cualitativo
climate_strategy;IAG;2020;1;cualitativo
water_management;IAG;2020;0;cualitativo
electric_vehicles;IAG;2020;1;cualitativo
recognized_env_standard;IAG;2020;1;cualitativo
energy_management;IAG;2020;1;cualitativo
packaging;IAG;2020;1;cualitativo
fleet_management;IAG;2020;1;cualitativo
fuel_efficiency;IAG;2020;1;cualitativo
%_renewable_energy;IAG;2020;0;cuantitativo
%_waste_recycled;IAG;2020;0;cuantitativo
%_waste_haz_recycled;IAG;2020;0;cuantitativo
%_waste_nohaz_recycled;IAG;2020;0;cuantitativo
%_reduction_co2_2030;IAG;2020;0.2;cuantitativo
external_audit;IAG;2019;1;cualitativo
2030_commitment;IAG;2019;1;cualitativo
waste_management;IAG;2019;1;cualitativo
biodiversity_commitment;IAG;2019;0;cualitativo
climate_strategy;IAG;2019;1;cualitativo
water_management;IAG;2019;0;cualitativo
electric_vehicles;IAG;2019;1;cualitativo
recognized_env_standard;IAG;2019;1;cualitativo
energy_management;IAG;2019;0;cualitativo
packaging;IAG;2019;0;cualitativo
fleet_management;IAG;2019;1;cualitativo
fuel_efficiency;IAG;2019;1;cualitativo
%_renewable_energy;IAG;2019;0;cuantitativo
%_waste_recycled;IAG;2019;0;cuantitativo
%_waste_haz_recycled;IAG;2019;0;cuantitativo
%_waste_nohaz_recycled;IAG;2019;0;cuantitativo
%_reduction_co2_2030;IAG;2019;0.2;cuantitativo
external_audit;IAG;2018;1;cualitativo
2030_commitment;IAG;2018;1;cualitativo
waste_management;IAG;2018;1;cualitativo
biodiversity_commitment;IAG;2018;0;cualitativo
climate_strategy;IAG;2018;1;cualitativo
water_management;IAG;2018;0;cualitativo
electric_vehicles;IAG;2018;1;cualitativo
recognized_env_standard;IAG;2018;1;cualitativo
energy_management;IAG;2018;1;cualitativo
packaging;IAG;2018;1;cualitativo
fleet_management;IAG;2018;1;cualitativo
fuel_efficiency;IAG;2018;1;cualitativo
%_renewable_energy;IAG;2018;0.02;cuantitativo
%_waste_recycled;IAG;2018;0;cuantitativo
%_waste_haz_recycled;IAG;2018;0;cuantitativo
%_waste_nohaz_recycled;IAG;2018;0;cuantitativo
%_reduction_co2_2030;IAG;2018;0;cuantitativo
external_audit;IAG;2017;1;cualitativo
2030_commitment;IAG;2017;1;cualitativo
waste_management;IAG;2017;0;cualitativo
biodiversity_commitment;IAG;2017;0;cualitativo
climate_strategy;IAG;2017;0;cualitativo
water_management;IAG;2017;1;cualitativo
electric_vehicles;IAG;2017;0;cualitativo
recognized_env_standard;IAG;2017;1;cualitativo
energy_management;IAG;2017;1;cualitativo
packaging;IAG;2017;1;cualitativo
fleet_management;IAG;2017;1;cualitativo
fuel_efficiency;IAG;2017;1;cualitativo
%_renewable_energy;IAG;2017;0.54;cuantitativo
%_waste_recycled;IAG;2017;0;cuantitativo
%_waste_haz_recycled;IAG;2017;0;cuantitativo
%_waste_nohaz_recycled;IAG;2017;0;cuantitativo
%_reduction_co2_2030;IAG;2017;0;cuantitativo
external_audit;Melia;2021;0;cualitativo
2030_commitment;Melia;2021;1;cualitativo
waste_management;Melia;2021;1;cualitativo
