variable;empresa;año;valor;tipo
recognized_env_standard;IAG;2017;0;cualitativo
energy_management;IAG;2017;1;cualitativo
packaging;IAG;2017;1;cualitativo
fleet_management;IAG;2017;1;cualitativo
fuel_efficiency;IAG;2017;1;cualitativo
external_audit;Melia;2018;1;cualitativo
2030_commitment;Melia;2018;1;cualitativo
waste_management;Melia;2018;0;cualitativo
biodiversity_commitment;Melia;2018;0;cualitativo
climate_strategy;Melia;2018;0;cualitativo
recognized_env_standard;Melia;2018;1;cualitativo
energy_management;Melia;2018;1;cualitativo
food_loss_waste;Melia;2018;0;cualitativo
packaging;Melia;2018;1;cualitativo
external_audit;Melia;2017;1;cualitativo
2030_commitment;Melia;2017;0;cualitativo
waste_management;Melia;2017;1;cualitativo
biodiversity_commitment;Melia;2017;0;cualitativo
climate_strategy;Melia;2017;0;cualitativo
recognized_env_standard;Melia;2017;1;cualitativo
energy_management;Melia;2017;1;cualitativo
food_loss_waste;Melia;2017;0;cualitativo
packaging;Melia;2017;1;cualitativo
external_audit;Bankinter;2018;0;cualitativo
2030_commitment;Bankinter;2018;1;cualitativo
climate_strategy;Bankinter;2018;0;cualitativo
recognized_env_standard;Bankinter;2018;1;cualitativo
energy_management;Bankinter;2018;1;cualitativo
decarbonization_strategy;Bankinter;2018;1;cualitativo
external_audit;Bankinter;2019;0;cualitativo
2030_commitment;Bankinter;2019;1;cualitativo
climate_strategy;Bankinter;2019;1;cualitativo
recognized_env_standard;Bankinter;2019;0;cualitativo
energy_management;Bankinter;2019;1;cualitativo
decarbonization_strategy;Bankinter;2019;0;cualitativo
external_audit;Bankinter;2020;1;cualitativo
2030_commitment;Bankinter;2020;1;cualitativo
climate_strategy;Bankinter;2020;1;cualitativo
recognized_env_standard;Bankinter;2020;1;cualitativo
energy_management;Bankinter;2020;1;cualitativo
decarbonization_strategy;Bankinter;2020;1;cualitativo
external_audit;Bankinter;2021;0;cualitativo
2030_commitment;Bankinter;2021;1;cualitativo
climate_strategy;Bankinter;2021;1;cualitativo
recognized_env_standard;Bankinter;2021;0;cualitativo
energy_management;Bankinter;2021;1;cualitativo
decarbonization_strategy;Bankinter;2021;1;cualitativo
external_audit;Endesa;2017;1;cualitativo
2030_commitment;Endesa;2017;1;cualitativo
biodiversity_commitment;Endesa;2017;1;cualitativo
climate_strategy;Endesa;2017;0;cualitativo
recognized_env_standard;Endesa;2017;1;cualitativo
energy_management;Endesa;2017;0;cualitativo
external_audit;Endesa;2018;0;cualitativo
2030_commitment;Endesa;2018;1;cualitativo
biodiversity_commitment;Endesa;2018;1;cualitativo
climate_strategy;Endesa;2018;1;cualitativo
recognized_env_standard;Endesa;2018;1;cualitativo
energy_management;Endesa;2018;1;cualitativo
external_audit;Endesa;2019;1;cualitativo
2030_commitment;Endesa;2019;1;cualitativo
biodiversity_commitment;Endesa;2019;1;cualitativo
climate_strategy;Endesa;2019;1;cualitativo
recognized_env_standard;Endesa;2019;1;cualitativo
energy_management;Endesa;2019;1;cualitativo
external_audit;Endesa;2020;1;cualitativo
2030_commitment;Endesa;2020;1;cualitativo
biodiversity_commitment;Endesa;2020;1;cualitativo
climate_strategy;Endesa;2020;0;cualitativo
recognized_env_standard;Endesa;2020;1;cualitativo
energy_management;Endesa;2020;1;cualitativo
external_audit;Endesa;2021;1;cualitativo
2030_commitment;Endesa;2021;0;cualitativo
biodiversity_commitment;Endesa;2021;1;cualitativo
climate_strategy;Endesa;2021;1;cualitativo
recognized_env_standard;Endesa;2021;1;cualitativo
energy_management;Endesa;2021;1;cualitativo
%_renewable_energy;Cellnex;2020;0.4;cuantitativo
%_renewable_energy;Endesa;2021;0;cuantitativo
%_renewable_energy;Endesa;2020;0.45;cuantitativo
%_renewable_energy;Endesa;2019;0.55;cuantitativo
%_renewable_energy;Endesa;2018;1;cuantitativo
%_renewable_energy;Endesa;2017;0;cuantitativo
%_renewable_energy;IAG;2020;0;cuantitativo
%_recycled_waste;IAG;2020;0;cuantitativo
%_recycled_haz_waste;IAG;2020;0;cuantitativo
%_renewable_energy;IAG;2019;0;cuantitativo
%_recycled_waste;IAG;2019;0;cuantitativo
%_recycled_haz_waste;IAG;2019;0;cuantitativo
%_renewable_energy;IAG;2018;0.02;cuantitativo
%_recycled_waste;IAG;2018;0;cuantitativo
%_recycled_haz_waste;IAG;2018;0;cuantitativo
%_renewable_energy;IAG;2017;0.54;cuantitativo
%_recycled_waste;IAG;2017;0;cuantitativo
%_recycled_haz_waste;IAG;2017;0;cuantitativo
%_recycled_nonhaz_waste;IAG;2020;0;cuantitativo
%_recycled_nonhaz_waste;IAG;2019;0;cuantitativo
%_recycled_nonhaz_waste;IAG;2018;0;cuantitativo
%_recycled_nonhaz_waste;IAG;2017;0;cuantitativo
%_renewable_energy;Melia;2017;0.7;cuantitativo
%_recycled_waste;Melia;2017;0;cuantitativo
%_recycled_haz_waste;Melia;2017;0;cuantitativo
%_recycled_nonhaz_waste;Melia;2017;0;cuantitativo
%_renewable_energy;Melia;2018;0;cuantitativo
%_recycled_waste;Melia;2018;0;cuantitativo
%_recycled_haz_waste;Melia;2018;0;cuantitativo
%_recycled_nonhaz_waste;Melia;2018;0;cuantitativo
%_renewable_energy;Acerinox;2017;0;cuantitativo
%_recycled_water;Acerinox;2017;0;cuantitativo
%_renewable_energy;Acerinox;2018;0;cuantitativo
%_recycled_water;Acerinox;2018;0;cuantitativo
%_renewable_energy;Acerinox;2019;0;cuantitativo
%_recycled_water;Acerinox;2019;0;cuantitativo
%_renewable_energy;Acerinox;2020;0;cuantitativo
%_recycled_water;Acerinox;2020;0;cuantitativo
%_renewable_energy;Acerinox;2021;0;cuantitativo
%_recycled_water;Acerinox;2021;0;cuantitativo
%_renewable_energy;ACS;2021;1;cuantitativo
%_renewable_energy;ACS;2020;0.32;cuantitativo
%_renewable_energy;ACS;2019;1;cuantitativo
%_renewable_energy;ACS;2018;0;cuantitativo
%_renewable_energy;ACS;2017;0;cuantitativo
%_renewable_energy;Bankinter;2021;0;cuantitativo
%_renewable_energy;Bankinter;2020;1;cuantitativo
%_renewable_energy;Bankinter;2019;1;cuantitativo
%_renewable_energy;Bankinter;2018;0;cuantitativo
%_renewable_energy;Aena;2021;0;cuantitativo
%_recycled_waste;Aena;2021;0;cuantitativo
%_recycled_haz_waste;Aena;2021;0;cuantitativo
%_recycled_nonhaz_waste;Aena;2021;0;cuantitativo
%_renewable_energy;Aena;2020;0;cuantitativo
%_recycled_waste;Aena;2020;0;cuantitativo
%_recycled_haz_waste;Aena;2020;0;cuantitativo
%_recycled_nonhaz_waste;Aena;2020;0;cuantitativo
%_renewable_energy;Aena;2019;0;cuantitativo
%_recycled_waste;Aena;2019;0;cuantitativo
%_recycled_haz_waste;Aena;2019;0;cuantitativo
%_recycled_nonhaz_waste;Aena;2019;0;cuantitativo
%_renewable_energy;Aena;2018;1;cuantitativo
%_recycled_waste;Aena;2018;0;cuantitativo
%_recycled_haz_waste;Aena;2018;0;cuantitativo
%_recycled_nonhaz_waste;Aena;2018;0;cuantitativo
%_renewable_energy;Aena;2017;0;cuantitativo
%_recycled_waste;Aena;2017;0.16;cuantitativo
%_recycled_haz_waste;Aena;2017;0;cuantitativo
%_recycled_nonhaz_waste;Aena;2017;0.56;cuantitativo
external_audit;Aena;2019;1;cualitativo
2030_commitment;Aena;2019;0;cualitativo
waste_management;Aena;2019;1;cualitativo
biodiversity_commitment;Aena;2019;0;cualitativo
climate_strategy;Aena;2019;0;cualitativo
electric_vehicles;Aena;2019;0;cualitativo
recognized_env_standard;Aena;2019;1;cualitativo
energy_management;Aena;2019;0;cualitativo
packaging;Aena;2019;1;cualitativo
fleet_management;Aena;2019;0;cualitativo
fuel_efficiency;Aena;2019;0;cualitativo
external_audit;Aena;2018;1;cualitativo
2030_commitment;Aena;2018;0;cualitativo
waste_management;Aena;2018;1;cualitativo
biodiversity_commitment;Aena;2018;0;cualitativo
climate_strategy;Aena;2018;0;cualitativo
electric_vehicles;Aena;2018;1;cualitativo
recognized_env_standard;Aena;2018;1;cualitativo
energy_management;Aena;2018;1;cualitativo
packaging;Aena;2018;1;cualitativo
fleet_management;Aena;2018;0;cualitativo
fuel_efficiency;Aena;2018;0;cualitativo
external_audit;Aena;2017;1;cualitativo
2030_commitment;Aena;2017;1;cualitativo
waste_management;Aena;2017;1;cualitativo
biodiversity_commitment;Aena;2017;0;cualitativo
climate_strategy;Aena;2017;1;cualitativo
electric_vehicles;Aena;2017;0;cualitativo
recognized_env_standard;Aena;2017;1;cualitativo
energy_management;Aena;2017;1;cualitativo
packaging;Aena;2017;1;cualitativo
fleet_management;Aena;2017;0;cualitativo
fuel_efficiency;Aena;2017;0;cualitativo
external_audit;Amadeus;2021;1;cualitativo
2030_commitment;Amadeus;2021;1;cualitativo
climate_strategy;Amadeus;2021;0;cualitativo
recognized_env_standard;Amadeus;2021;0;cualitativo
circular_economy;Amadeus;2021;1;cualitativo
energy_management;Amadeus;2021;1;cualitativo
product_stewardship;Amadeus;2021;0;cualitativo
%_renewable_energy;Amadeus;2021;0;cuantitativo
external_audit;Amadeus;2020;1;cualitativo
2030_commitment;Amadeus;2020;0;cualitativo
climate_strategy;Amadeus;2020;1;cualitativo
recognized_env_standard;Amadeus;2020;1;cualitativo
circular_economy;Amadeus;2020;0;cualitativo
energy_management;Amadeus;2020;1;cualitativo
product_stewardship;Amadeus;2020;0;cualitativo
%_renewable_energy;Amadeus;2020;0;cuantitativo
external_audit;Amadeus;2019;1;cualitativo
2030_commitment;Amadeus;2019;0;cualitativo
climate_strategy;Amadeus;2019;0;cualitativo
recognized_env_standard;Amadeus;2019;1;cualitativo
circular_economy;Amadeus;2019;0;cualitativo
energy_management;Amadeus;2019;1;cualitativo
product_stewardship;Amadeus;2019;0;cualitativo
%_renewable_energy;Amadeus;2019;0;cuantitativo
external_audit;Amadeus;2018;1;cualitativo
2030_commitment;Amadeus;2018;0;cualitativo
climate_strategy;Amadeus;2018;0;cualitativo
recognized_env_standard;Amadeus;2018;1;cualitativo
circular_economy;Amadeus;2018;0;cualitativo
energy_management;Amadeus;2018;1;cualitativo
product_stewardship;Amadeus;2018;0;cualitativo
%_renewable_energy;Amadeus;2018;0.272;cuantitativo
external_audit;Amadeus;2017;1;cualitativo
2030_commitment;Amadeus;2017;0;cualitativo
climate_strategy;Amadeus;2017;0;cualitativo
recognized_env_standard;Amadeus;2017;1;cualitativo
circular_economy;Amadeus;2017;0;cualitativo
energy_management;Amadeus;2017;1;cualitativo
product_stewardship;Amadeus;2017;0;cualitativo
%_renewable_energy;Amadeus;2017;0;cuantitativo
external_audit;BBVA;2019;0;cualitativo
2030_commitment;BBVA;2019;1;cualitativo
climate_strategy;BBVA;2019;1;cualitativo
recognized_env_standard;BBVA;2019;1;cualitativo
energy_management;BBVA;2019;0;cualitativo
decarbonization_strategy;BBVA;2019;0;cualitativo
%_renewable_energy;BBVA;2019;0.39;cuantitativo
external_audit;BBVA;2018;1;cualitativo
2030_commitment;BBVA;2018;0;cualitativo
climate_strategy;BBVA;2018;0;cualitativo
recognized_env_standard;BBVA;2018;1;cualitativo
energy_management;BBVA;2018;1;cualitativo
decarbonization_strategy;BBVA;2018;0;cualitativo
%_renewable_energy;BBVA;2018;0.37;cuantitativo
external_audit;BBVA;2017;1;cualitativo
2030_commitment;BBVA;2017;0;cualitativo
climate_strategy;BBVA;2017;0;cualitativo
recognized_env_standard;BBVA;2017;0;cualitativo
energy_management;BBVA;2017;1;cualitativo
decarbonization_strategy;BBVA;2017;0;cualitativo
%_renewable_energy;BBVA;2017;0.48;cuantitativo
external_audit;Enagas;2021;0;cualitativo
2030_commitment;Enagas;2021;1;cualitativo
biodiversity_commitment;Enagas;2021;1;cualitativo
climate_strategy;Enagas;2021;0;cualitativo
recognized_env_standard;Enagas;2021;1;cualitativo
energy_management;Enagas;2021;1;cualitativo
%_renewable_energy;Enagas;2021;0;cuantitativo
external_audit;Enagas;2020;1;cualitativo
2030_commitment;Enagas;2020;0;cualitativo
biodiversity_commitment;Enagas;2020;1;cualitativo
climate_strategy;Enagas;2020;0;cualitativo
recognized_env_standard;Enagas;2020;1;cualitativo
energy_management;Enagas;2020;1;cualitativo
%_renewable_energy;Enagas;2020;0.19;cuantitativo
external_audit;Enagas;2019;0;cualitativo
