,empresas,score,score_cualitativo,año
148,Banco Sabadell,12.96,19.45,2020
149,Banco Sabadell,67.58,72.22,2021
150,Banco Santander,8.33,16.66,2017
151,Banco Santander,8.33,16.66,2018
152,Banco Santander,58.33,63.88,2019
153,Banco Santander,54.16,63.88,2020
154,Banco Santander,63.88,83.33,2021
155,Bankinter,19.44,27.77,2017
156,Bankinter,54.62,69.44,2018
157,Bankinter,42.59,55.55,2019
158,Bankinter,87.03,99.99,2020
159,Bankinter,67.59,88.88,2021
160,CaixaBank,0.0,0.0,2017
161,CaixaBank,67.59,88.88,2018
162,CaixaBank,12.96,19.45,2019
163,CaixaBank,54.62,69.44,2020
164,CaixaBank,24.07,30.55,2021
165,Unicaja,0.0,0.0,2017
166,Unicaja,8.33,16.66,2018
167,Unicaja,19.44,27.77,2019
168,Unicaja,0.0,0.0,2020
169,Unicaja,54.62,69.44,2021
170,Mapfre,35.83,35.0,2017
171,Mapfre,70.18,80.0,2018
172,Mapfre,79.26,100.0,2019
173,Mapfre,37.69,50.0,2020
174,Mapfre,70.83,85.0,2021
